EMPLID,MONTH,HOME_LABOR_ACCT,WORKED_LABOR_ACCT,REG_HRS,OT_HRS,FLOAT_HRS,CALLOFF_HRS,SHIFTS_WORKED,MAX_CONSECUTIVE_SHIFTS
700005,2026-05,06101-RN,06101-RN,154.7,13.5,9.0,0.0,15,3
700005,2026-06,06101-RN,06101-RN,148.5,13.5,7.4,0.0,14,5
700006,2026-01,06101-RN,06101-RN,153.0,12.5,6.9,0.0,14,3
700006,2026-02,06101-RN,06101-RN,145.8,13.8,11.0,0.0,14,5
700006,2026-03,06101-RN,06101-RN,151.7,13.7,11.9,0.0,15,4
700006,2026-04,06101-RN,06101-RN,150.6,12.7,12.1,0.0,15,4
700006,2026-05,06101-RN,06101-RN,153.7,17.8,8.1,0.0,15,3
700006,2026-06,06101-RN,06101-RN,148.1,13.2,10.1,0.0,14,5
700007,2026-01,06101-RN,06101-RN,146.9,16.7,11.1,0.0,15,4
700007,2026-02,06101-RN,06101-RN,147.9,15.1,7.4,0.0,14,5
700007,2026-03,06101-RN,06101-RN,146.9,15.1,7.3,10.0,14,4
700007,2026-04,06101-RN,06101-RN,151.1,18.1,6.8,0.0,15,4
700007,2026-05,06101-RN,06101-RN,146.9,12.8,10.1,0.0,14,3
700007,2026-06,06101-RN,06101-RN,144.4,15.9,11.7,10.5,14,5
700008,2026-01,06110-RN,06110-RN,114.8,9.5,6.4,0.0,11,4
700008,2026-02,06110-RN,06110-RN,122.8,8.2,5.0,0.0,11,2
700008,2026-03,06110-RN,06110-RN,122.9,11.8,4.9,0.0,12,2
700008,2026-04,06110-RN,06110-RN,123.8,8.9,5.8,0.0,12,3
700008,2026-05,06110-RN,06110-RN,118.9,10.2,8.1,0.0,11,3
700008,2026-06,06110-RN,06110-RN,120.3,9.4,6.2,0.0,11,4
700009,2026-01,06110-RN,06110-RN,154.8,13.7,6.3,0.0,15,4
700009,2026-02,06110-RN,06110-RN,148.9,14.5,5.7,0.0,14,4
700009,2026-03,06110-RN,06110-RN,155.2,10.2,6.4,9.9,14,4
700009,2026-04,06110-RN,06110-RN,143.9,13.0,9.6,0.0,14,2
700009,2026-05,06110-RN,06110-RN,148.0,13.6,9.7,0.0,14,2
700009,2026-06,06110-RN,06110-RN,155.3,14.8,8.8,0.0,15,3
700010,2026-01,06110-RN,06110-RN,148.2,12.8,5.5,0.0,14,4
700010,2026-02,06110-RN,06110-RN,151.0,14.9,5.8,0.0,14,2
700010,2026-03,06110-RN,06110-RN,152.8,13.0,8.4,0.0,15,2
700010,2026-04,06110-RN,06110-RN,152.3,10.5,9.7,0.0,14,3
700010,2026-05,06110-RN,06110-RN,153.2,10.8,9.9,0.0,14,3
700010,2026-06,06110-RN,06110-RN,155.4,11.3,8.3,0.0,15,2
700011,2026-01,06110-RN,06110-RN,137.3,9.1,6.7,0.0,13,4
700011,2026-02,06110-RN,06110-RN,132.9,9.4,5.6,0.0,12,4
700011,2026-03,06110-RN,06110-RN,136.5,12.3,7.4,0.0,13,4
700011,2026-04,06110-RN,06110-RN,131.3,12.4,8.2,0.0,13,2
700011,2026-05,06110-RN,06110-RN,130.1,11.4,5.4,0.0,12,2
700011,2026-06,06110-RN,06110-RN,135.0,11.4,5.8,0.0,13,3
700012,2026-01,06110-RN,06110-RN,150.8,14.3,8.8,0.0,14,4
700012,2026-02,06110-RN,06110-RN,152.5,12.0,8.6,0.0,14,3
700012,2026-03,06110-RN,06110-RN,147.5,14.7,7.2,0.0,14,3
700012,2026-04,06110-RN,06110-RN,144.6,10.0,8.5,0.0,14,2
700012,2026-05,06110-RN,06110-RN,145.8,13.7,7.2,0.0,14,2
700012,2026-06,06110-RN,06110-RN,155.8,11.4,8.2,10.3,15,2
700013,2026-01,06110-RN,06110-RN,116.2,10.5,5.8,0.0,11,3
700013,2026-02,06110-RN,06110-RN,115.3,8.6,7.1,0.0,11,4
700013,2026-03,06110-RN,06110-RN,117.2,8.2,7.7,0.0,11,4
700013,2026-04,06110-RN,06110-RN,118.3,10.6,4.9,0.0,11,2
700013,2026-05,06110-RN,06110-RN,115.6,11.5,7.8,0.0,11,3
700013,2026-06,06110-RN,06110-RN,119.1,9.8,7.9,0.0,11,4
700014,2026-01,06120-RN,06120-RN,131.5,15.6,6.2,7.2,13,5
700014,2026-02,06120-RN,06120-RN,139.5,13.5,4.2,0.0,13,3
700014,2026-03,06120-RN,06120-RN,138.8,14.0,4.9,0.0,13,3
700014,2026-04,06120-RN,06120-RN,137.6,13.9,4.8,0.0,13,5
700014,2026-05,06120-RN,06120-RN,136.2,18.2,7.1,0.0,13,3
700015,2026-01,06120-RN,06120-RN,131.0,14.2,6.6,0.0,13,4
700015,2026-02,06120-RN,06120-RN,139.2,15.7,6.5,0.0,13,5
700015,2026-03,06120-RN,06120-RN,138.1,17.3,4.1,0.0,13,5
700015,2026-04,06120-RN,06120-RN,137.3,17.1,6.1,0.0,13,5
700015,2026-05,06120-RN,06120-RN,129.3,12.4,6.8,0.0,12,3
700015,2026-06,06120-RN,06120-RN,134.4,17.6,6.3,0.0,13,4
700016,2026-01,06120-RN,06120-RN,153.7,15.9,6.9,0.0,15,4
700016,2026-02,06120-RN,06120-RN,146.8,13.7,7.0,0.0,14,4
700016,2026-03,06120-RN,06120-RN,148.2,15.8,5.8,0.0,14,5
700016,2026-04,06120-RN,06120-RN,145.0,16.8,6.8,0.0,14,5
700016,2026-05,06120-RN,06120-RN,149.5,14.4,6.6,0.0,14,5
700016,2026-06,06120-RN,06120-RN,151.9,20.4,6.2,0.0,15,4
700017,2026-01,06120-RN,06120-RN,149.9,20.2,4.5,0.0,15,3
700017,2026-02,06120-RN,06120-RN,151.3,19.1,5.2,0.0,15,4
700017,2026-03,06120-RN,06120-RN,150.5,17.0,7.2,0.0,15,4
700017,2026-04,06120-RN,06120-RN,148.3,15.6,7.7,0.0,14,5
700017,2026-05,06120-RN,06120-RN,150.5,17.2,5.1,0.0,14,5
700017,2026-06,06120-RN,06120-RN,149.7,18.1,7.8,0.0,15,5
700018,2026-01,06120-RN,06120-RN,151.4,16.7,6.1,0.0,15,5
700018,2026-02,06120-RN,06120-RN,153.9,16.4,6.9,0.0,15,4
700018,2026-03,06120-RN,06120-RN,146.6,19.6,5.9,0.0,14,5
700018,2026-04,06120-RN,06120-RN,148.0,14.0,7.7,0.0,14,5
700018,2026-05,06120-RN,06120-RN,149.1,14.7,6.6,0.0,14,4
700018,2026-06,06120-RN,06120-RN,147.1,17.8,7.4,0.0,14,3
700019,2026-01,06120-RN,06120-RN,151.8,16.5,6.5,0.0,15,4
700019,2026-02,06120-RN,06120-RN,149.2,19.8,6.3,0.0,15,5
700019,2026-03,06120-RN,06120-RN,154.4,14.3,7.2,0.0,15,5
700019,2026-04,06120-RN,06120-RN,154.3,14.5,6.3,0.0,15,3
700019,2026-05,06120-RN,06120-RN,152.1,18.0,7.3,0.0,15,3
700019,2026-06,06120-RN,06120-RN,151.5,14.3,7.8,0.0,14,3
700020,2026-01,06120-RN,06120-RN,145.8,19.2,6.0,0.0,14,3
700020,2026-02,06120-RN,06120-RN,149.2,18.6,5.1,0.0,14,5
700020,2026-03,06120-RN,06120-RN,149.7,18.2,8.0,0.0,15,3
700020,2026-04,06120-RN,06120-RN,148.0,14.6,6.0,0.0,14,3
700020,2026-05,06120-RN,06120-RN,149.9,20.4,5.5,0.0,15,5
700020,2026-06,06120-RN,06120-RN,143.9,18.9,4.6,7.0,14,4
700021,2026-01,06120-RN,06120-RN,147.4,13.8,7.0,0.0,14,5
700021,2026-02,06120-RN,06120-RN,144.9,13.9,7.4,0.0,14,5
700021,2026-03,06120-RN,06120-RN,146.7,15.7,7.0,0.0,14,4
700021,2026-04,06120-RN,06120-RN,148.0,17.5,5.8,0.0,14,4
700021,2026-05,06120-RN,06120-RN,155.1,16.5,7.5,0.0,15,5
700021,2026-06,06120-RN,06120-RN,145.2,17.1,6.6,0.0,14,4
700022,2026-01,07101-RN,07101-RN,148.6,12.7,7.0,0.0,14,4
700022,2026-02,07101-RN,07101-RN,145.0,11.2,9.0,0.0,14,2
700022,2026-03,07101-RN,07101-RN,151.9,10.9,8.0,0.0,14,3
700022,2026-04,07101-RN,07101-RN,155.1,10.7,8.7,0.0,15,2
700022,2026-05,07101-RN,07101-RN,150.6,12.4,9.4,0.0,14,3
700022,2026-06,07101-RN,07101-RN,154.1,12.9,7.8,0.0,15,4
700023,2026-01,07101-RN,07101-RN,145.1,11.3,9.0,0.0,14,2
700023,2026-02,07101-RN,07101-RN,149.8,12.0,7.7,0.0,14,4
700023,2026-03,07101-RN,07101-RN,151.9,11.2,9.0,0.0,14,3
700023,2026-04,07101-RN,07101-RN,156.0,11.3,7.4,0.0,15,4
700023,2026-05,07101-RN,07101-RN,144.4,12.7,9.1,0.0,14,2
700023,2026-06,07101-RN,07101-RN,151.6,10.0,7.4,0.0,14,3
700024,2026-01,07101-RN,07101-RN,135.3,8.2,7.2,0.0,13,2
700024,2026-02,07101-RN,07101-RN,136.3,11.3,6.9,0.0,13,4
700024,2026-03,07101-RN,07101-RN,130.6,10.3,6.8,0.0,12,4
700024,2026-04,07101-RN,07101-RN,132.2,8.7,5.4,6.6,12,3
700024,2026-05,07101-RN,07101-RN,131.3,8.7,5.4,0.0,12,3
700024,2026-06,07101-RN,07101-RN,132.4,8.8,7.0,0.0,12,2
700025,2026-01,07101-RN,07101-RN,151.6,12.7,6.3,0.0,14,4
700025,2026-02,07101-RN,07101-RN,155.2,11.2,9.7,0.0,15,2
700025,2026-03,07101-RN,07101-RN,155.9,12.5,5.6,0.0,14,2
700025,2026-04,07101-RN,07101-RN,151.0,11.1,6.5,0.0,14,2
700025,2026-05,07101-RN,07101-RN,147.4,11.8,6.0,0.0,14,3
700025,2026-06,07101-RN,07101-RN,148.2,11.8,8.8,0.0,14,2
700026,2026-01,07101-RN,07101-RN,155.9,10.1,6.0,0.0,14,2
700026,2026-02,07101-RN,07101-RN,152.2,10.9,8.3,0.0,14,2
700026,2026-03,07101-RN,07101-RN,155.6,12.0,5.7,8.2,14,4
700026,2026-04,07101-RN,07101-RN,153.0,11.3,8.8,0.0,14,2
700026,2026-05,07101-RN,07101-RN,151.8,11.2,7.3,0.0,14,2
700026,2026-06,07101-RN,07101-RN,149.7,11.2,7.6,0.0,14,2
700027,2026-01,07101-RN,07101-RN,145.6,9.8,9.0,0.0,14,3
700027,2026-02,07101-RN,07101-RN,143.6,9.5,9.4,0.0,14,4
700027,2026-03,07101-RN,07101-RN,145.2,11.2,6.4,0.0,14,2
700027,2026-04,07101-RN,07101-RN,155.6,10.4,6.4,0.0,14,2
700027,2026-05,07101-RN,07101-RN,144.0,12.1,7.7,0.0,14,3
700027,2026-06,07101-RN,07101-RN,144.0,11.6,9.4,9.9,14,4
700028,2026-01,07101-RN,07101-RN,130.7,7.9,8.1,0.0,12,4
700028,2026-02,07101-RN,07101-RN,130.0,9.8,6.9,0.0,12,3
700028,2026-03,07101-RN,07101-RN,137.5,11.3,6.9,0.0,13,2
700028,2026-04,07101-RN,07101-RN,136.7,7.9,7.8,0.0,13,2
700028,2026-05,07101-RN,07101-RN,131.2,10.4,8.1,0.0,12,3
700028,2026-06,07101-RN,07101-RN,133.5,8.2,5.8,0.0,12,2
700029,2026-01,07130-RN,07130-RN,153.7,14.4,8.9,0.0,15,4
700029,2026-02,07130-RN,07130-RN,152.2,13.2,7.8,8.5,14,3
700029,2026-03,07130-RN,07130-RN,149.3,12.4,8.6,6.1,14,4
700029,2026-04,07130-RN,07130-RN,152.8,11.3,7.8,0.0,14,5
700029,2026-05,07130-RN,07130-RN,152.7,15.9,8.6,0.0,15,4
700030,2026-01,07130-RN,07130-RN,120.7,11.2,8.0,0.0,12,4
700030,2026-02,07130-RN,07130-RN,123.2,11.0,8.6,10.0,12,3
700030,2026-03,07130-RN,07130-RN,118.3,10.7,7.1,0.0,11,5
700030,2026-04,07130-RN,07130-RN,117.2,13.3,7.5,7.8,12,5
700030,2026-05,07130-RN,07130-RN,119.9,10.1,8.7,0.0,12,5
700030,2026-06,07130-RN,07130-RN,119.2,9.7,5.3,0.0,11,5
700031,2026-01,07130-RN,07130-RN,150.3,16.3,11.6,0.0,15,3
700031,2026-02,07130-RN,07130-RN,146.0,16.2,8.6,10.2,14,3
700031,2026-03,07130-RN,07130-RN,145.9,15.7,10.2,0.0,14,4
700031,2026-04,07130-RN,07130-RN,153.8,11.5,8.7,0.0,14,5
700031,2026-05,07130-RN,07130-RN,147.5,11.8,9.8,0.0,14,5
700031,2026-06,07130-RN,07130-RN,148.9,11.4,9.6,0.0,14,5
700032,2026-01,07130-RN,07130-RN,145.4,16.5,9.6,0.0,14,5
700032,2026-02,07130-RN,07130-RN,144.8,14.1,8.1,0.0,14,3
700032,2026-03,07130-RN,07130-RN,151.9,13.8,10.9,0.0,15,3
700032,2026-04,07130-RN,07130-RN,153.9,15.6,10.7,9.2,15,3
700032,2026-05,07130-RN,07130-RN,152.9,13.3,9.8,0.0,15,3
700032,2026-06,07130-RN,07130-RN,152.4,14.1,8.3,0.0,15,5
700033,2026-01,07130-RN,07130-RN,132.5,10.7,10.7,0.0,13,5
700033,2026-02,07130-RN,07130-RN,131.4,12.1,8.3,0.0,13,5
700033,2026-03,07130-RN,07130-RN,131.0,11.5,9.3,0.0,13,5
700033,2026-04,07130-RN,07130-RN,139.1,10.9,6.8,7.0,13,5
700033,2026-05,07130-RN,07130-RN,133.8,11.4,10.2,0.0,13,5
700033,2026-06,07130-RN,07130-RN,136.7,14.8,7.1,0.0,13,3
700034,2026-01,07130-RN,07130-RN,153.0,12.1,7.9,0.0,14,5
700034,2026-02,07130-RN,07130-RN,143.6,16.3,8.2,0.0,14,4
700034,2026-03,07130-RN,07130-RN,144.4,14.6,9.3,0.0,14,3
700034,2026-04,07130-RN,07130-RN,150.9,12.7,10.3,0.0,14,3
700034,2026-05,07130-RN,07130-RN,150.6,15.4,8.3,0.0,15,4
700034,2026-06,07130-RN,07130-RN,146.1,13.5,6.6,0.0,14,5
700035,2026-01,07120-RN,07120-RN,152.4,18.0,5.8,0.0,15,3
700035,2026-02,07120-RN,07120-RN,154.2,17.5,6.5,0.0,15,3
700035,2026-03,07120-RN,07120-RN,153.4,18.9,6.8,0.0,15,3
700035,2026-04,07120-RN,07120-RN,147.3,20.4,6.1,0.0,14,4
700036,2026-01,07120-RN,07120-RN,131.8,13.8,7.3,0.0,13,5
700036,2026-02,07120-RN,07120-RN,135.3,14.1,5.8,0.0,13,3
700036,2026-03,07120-RN,07120-RN,138.8,20.2,6.0,0.0,14,5
700036,2026-04,07120-RN,07120-RN,129.7,18.1,5.0,7.7,13,5
700036,2026-05,07120-RN,07120-RN,136.0,19.0,8.6,0.0,14,3
700036,2026-06,07120-RN,07120-RN,129.9,14.1,5.5,8.7,12,4
700037,2026-01,07120-RN,07120-RN,147.9,16.0,8.2,0.0,14,5
700037,2026-02,07120-RN,07120-RN,152.1,20.6,9.7,0.0,15,3
700037,2026-03,07120-RN,07120-RN,147.9,22.4,9.0,0.0,15,5
700037,2026-04,07120-RN,07120-RN,153.2,20.5,6.1,9.2,15,3
700037,2026-05,07120-RN,07120-RN,151.7,16.1,6.7,0.0,15,3
700037,2026-06,07120-RN,07120-RN,147.5,19.5,5.8,0.0,14,5
700038,2026-01,07120-RN,07120-RN,152.4,18.3,6.6,0.0,15,5
700038,2026-02,07120-RN,07120-RN,143.6,19.5,9.5,0.0,14,5
700038,2026-03,07120-RN,07120-RN,153.0,19.0,6.8,0.0,15,3
700038,2026-04,07120-RN,07120-RN,151.7,18.7,7.6,0.0,15,5
700038,2026-05,07120-RN,07120-RN,145.1,21.6,8.8,0.0,15,3
700038,2026-06,07120-RN,07120-RN,148.5,21.8,7.2,10.6,15,4
700039,2026-01,07120-RN,07120-RN,155.7,15.3,6.0,0.0,15,4
700039,2026-02,07120-RN,07120-RN,151.2,20.8,5.9,0.0,15,4
700039,2026-03,07120-RN,07120-RN,153.9,16.5,6.9,0.0,15,4
700039,2026-04,07120-RN,07120-RN,146.7,16.2,8.7,0.0,14,3
700039,2026-05,07120-RN,07120-RN,151.3,16.4,8.5,0.0,15,4
700039,2026-06,07120-RN,07120-RN,148.5,15.4,7.7,0.0,14,5
700040,2026-01,07120-RN,07120-RN,146.6,16.5,9.2,0.0,14,3
700040,2026-02,07120-RN,07120-RN,144.7,22.1,6.3,0.0,14,5
700040,2026-03,07120-RN,07120-RN,145.6,16.6,6.9,0.0,14,3
700040,2026-04,07120-RN,07120-RN,144.4,17.6,9.5,0.0,14,4
700040,2026-05,07120-RN,07120-RN,154.4,18.9,6.4,0.0,15,4
700040,2026-06,07120-RN,07120-RN,145.9,16.3,5.9,0.0,14,5
700041,2026-01,07120-RN,07120-RN,153.1,15.2,6.0,0.0,15,3
700041,2026-02,07120-RN,07120-RN,155.6,16.0,8.2,8.5,15,4
700041,2026-03,07120-RN,07120-RN,155.0,15.0,9.5,0.0,15,3
700041,2026-04,07120-RN,07120-RN,145.6,21.2,8.9,0.0,15,5
700041,2026-05,07120-RN,07120-RN,146.7,15.2,10.1,0.0,14,3
700041,2026-06,07120-RN,07120-RN,148.7,20.2,8.3,0.0,15,4
700042,2026-01,08101-RN,08115-RN,150.8,26.9,24.2,0.0,17,5
700042,2026-02,08101-RN,08101-RN,155.1,32.5,17.8,0.0,17,6
700042,2026-03,08101-RN,08101-RN,147.9,24.1,16.1,0.0,16,6
700042,2026-04,08101-RN,08101-RN,146.3,35.3,34.1,0.0,18,7
700042,2026-05,08101-RN,08105-RN,155.9,42.7,32.5,0.0,19,5
700043,2026-01,08101-RN,08101-RN,151.1,28.2,15.7,0.0,16,5
700043,2026-02,08101-RN,08101-RN,155.6,23.8,21.5,0.0,17,4
700043,2026-03,08101-RN,08115-RN,148.2,26.6,26.2,0.0,17,4
700043,2026-04,08101-RN,08101-RN,151.7,33.0,35.6,0.0,18,7
700044,2026-01,08101-RN,08105-RN,154.8,26.9,17.6,0.0,17,4
700044,2026-02,08101-RN,08101-RN,151.3,31.4,19.4,0.0,17,5
700044,2026-03,08101-RN,08115-RN,144.4,22.9,26.7,0.0,16,4
700044,2026-04,08101-RN,08105-RN,154.5,40.7,23.9,0.0,18,6
700044,2026-05,08101-RN,08101-RN,153.0,34.7,25.5,0.0,18,7
700044,2026-06,08101-RN,08101-RN,147.4,30.3,36.2,0.0,18,5
700045,2026-01,08101-RN,08105-RN,134.2,24.8,16.2,11.8,15,5
700045,2026-02,08101-RN,08115-RN,133.6,26.3,21.8,0.0,15,4
700045,2026-03,08101-RN,08101-RN,136.3,24.1,21.2,9.4,15,6
700045,2026-04,08101-RN,08101-RN,139.4,31.2,33.4,0.0,17,7
700045,2026-05,08101-RN,08101-RN,132.6,35.8,32.6,0.0,17,5
700045,2026-06,08101-RN,08101-RN,135.7,39.9,33.9,0.0,17,5
700046,2026-01,08101-RN,08105-RN,145.9,27.0,28.4,0.0,17,5
700046,2026-02,08101-RN,08101-RN,152.9,33.6,22.3,0.0,17,6
700046,2026-03,08101-RN,08115-RN,148.5,25.0,27.8,0.0,17,5
700046,2026-04,08101-RN,08101-RN,148.9,42.6,36.7,0.0,19,6
700046,2026-05,08101-RN,08101-RN,152.6,37.0,37.6,0.0,19,7
700046,2026-06,08101-RN,08105-RN,145.5,34.3,29.3,0.0,17,6
700047,2026-01,08101-RN,08101-RN,137.4,28.6,14.3,7.9,15,5
700047,2026-02,08101-RN,08101-RN,129.9,26.2,21.3,0.0,15,6
700047,2026-03,08101-RN,08101-RN,134.4,28.5,24.4,0.0,16,6
700047,2026-04,08101-RN,08101-RN,129.2,28.4,32.6,0.0,16,7
700047,2026-05,08101-RN,08101-RN,130.6,28.8,23.5,0.0,15,5
700047,2026-06,08101-RN,08101-RN,137.4,35.3,33.7,0.0,17,5
700048,2026-01,08105-RN,08105-RN,146.2,41.8,26.1,0.0,18,6
700048,2026-02,08105-RN,08115-RN,149.9,48.6,35.0,0.0,19,6
700048,2026-03,08105-RN,08105-RN,150.2,40.5,27.2,0.0,18,8
700048,2026-04,08105-RN,08115-RN,155.6,68.0,71.0,0.0,25,10
700048,2026-05,08105-RN,08101-RN,148.7,59.4,41.8,0.0,21,10
700048,2026-06,08105-RN,08115-RN,149.4,74.8,45.8,8.9,22,10
700049,2026-01,08105-RN,08105-RN,131.1,40.9,36.3,0.0,17,7
700049,2026-02,08105-RN,08115-RN,136.8,30.9,38.0,0.0,17,7
700049,2026-03,08105-RN,08115-RN,139.7,39.9,30.8,0.0,18,8
700049,2026-04,08105-RN,08115-RN,139.1,54.3,52.3,0.0,20,10
700050,2026-01,08105-RN,08115-RN,155.6,40.2,38.7,0.0,20,8
700050,2026-02,08105-RN,08115-RN,155.9,40.0,26.3,0.0,19,8
700050,2026-03,08105-RN,08115-RN,150.4,44.2,40.5,9.6,20,8
700050,2026-04,08105-RN,08115-RN,149.4,75.4,43.0,0.0,22,10
700051,2026-01,08105-RN,08105-RN,151.3,36.1,24.9,0.0,18,6
700051,2026-02,08105-RN,08105-RN,152.4,38.9,31.1,6.0,19,6
700051,2026-03,08105-RN,08105-RN,155.9,47.5,42.3,0.0,20,8
700051,2026-04,08105-RN,08105-RN,150.8,53.7,60.5,0.0,22,10
700051,2026-05,08105-RN,08105-RN,149.2,65.7,55.6,0.0,23,10
700051,2026-06,08105-RN,08115-RN,143.6,60.6,44.5,0.0,21,10
700052,2026-01,08105-RN,08115-RN,151.7,35.3,35.5,0.0,19,8
700052,2026-02,08105-RN,08105-RN,145.0,32.5,34.2,0.0,18,7
700052,2026-03,08105-RN,08105-RN,146.5,36.3,28.5,0.0,18,6
700052,2026-04,08105-RN,08101-RN,145.7,72.8,49.0,0.0,22,10
700052,2026-05,08105-RN,08115-RN,152.4,65.8,48.4,0.0,22,10
700052,2026-06,08105-RN,08105-RN,149.5,74.5,61.3,0.0,24,10
700053,2026-01,08105-RN,08101-RN,145.2,41.7,31.9,0.0,18,7
700053,2026-02,08105-RN,08115-RN,150.7,46.9,26.7,0.0,19,8
700053,2026-03,08105-RN,08115-RN,144.0,40.6,39.6,0.0,19,6
700053,2026-04,08105-RN,08105-RN,146.4,57.1,58.7,0.0,22,10
700053,2026-05,08105-RN,08101-RN,149.0,72.3,68.9,0.0,24,10
700053,2026-06,08105-RN,08105-RN,144.6,70.3,68.9,0.0,24,10
700054,2026-01,08105-RN,08115-RN,137.4,30.0,26.8,0.0,16,7
700054,2026-02,08105-RN,08105-RN,135.0,30.4,35.7,0.0,17,6
700054,2026-03,08105-RN,08101-RN,131.7,31.3,39.0,0.0,17,8
700054,2026-04,08105-RN,08101-RN,138.1,54.8,40.3,0.0,19,10
700054,2026-05,08105-RN,08101-RN,133.4,65.3,37.7,10.6,20,10
700054,2026-06,08105-RN,08105-RN,135.4,48.7,55.4,0.0,20,10
700055,2026-01,08115-RN,08115-RN,136.7,27.8,27.6,0.0,16,5
700055,2026-02,08115-RN,08101-RN,136.5,31.0,25.1,0.0,16,6
700055,2026-03,08115-RN,08115-RN,138.5,34.0,21.7,0.0,16,7
700055,2026-04,08115-RN,08115-RN,134.8,38.6,36.6,0.0,18,7
700055,2026-05,08115-RN,08115-RN,133.9,38.6,37.3,0.0,17,8
700056,2026-01,08115-RN,08105-RN,144.2,39.9,34.6,0.0,18,5
700056,2026-02,08115-RN,08115-RN,153.5,29.5,34.8,0.0,18,6
700056,2026-03,08115-RN,08105-RN,143.9,35.9,28.5,0.0,17,5
700056,2026-04,08115-RN,08115-RN,147.8,38.1,43.2,0.0,19,9
700056,2026-05,08115-RN,08101-RN,147.9,46.9,34.5,0.0,19,8
700057,2026-01,08115-RN,08101-RN,155.2,30.1,36.2,0.0,18,7
700057,2026-02,08115-RN,08115-RN,153.9,29.9,26.0,8.3,17,7
700057,2026-03,08115-RN,08105-RN,149.4,28.7,30.1,0.0,17,6
700057,2026-04,08115-RN,08101-RN,144.2,53.8,40.4,0.0,20,8
700057,2026-05,08115-RN,08115-RN,146.5,43.7,29.1,0.0,18,7
700057,2026-06,08115-RN,08101-RN,155.8,54.5,45.5,9.3,21,8
700058,2026-01,08115-RN,08115-RN,146.6,37.3,32.0,0.0,18,7
700058,2026-02,08115-RN,08115-RN,155.9,40.6,26.6,0.0,19,5
700058,2026-03,08115-RN,08101-RN,154.4,34.5,34.0,9.2,19,7
700058,2026-04,08115-RN,08105-RN,151.7,46.8,27.9,0.0,19,9
700058,2026-05,08115-RN,08101-RN,154.4,40.9,26.9,0.0,19,8
700058,2026-06,08115-RN,08115-RN,144.0,49.1,47.1,0.0,20,9
700059,2026-01,08115-RN,08115-RN,120.5,29.4,22.1,0.0,14,6
700059,2026-02,08115-RN,08101-RN,117.4,25.7,25.8,0.0,14,5
700059,2026-03,08115-RN,08105-RN,122.0,22.8,15.8,0.0,13,6
700059,2026-04,08115-RN,08105-RN,117.8,42.4,22.9,0.0,15,7
700059,2026-05,08115-RN,08101-RN,122.3,41.2,36.9,0.0,17,7
700059,2026-06,08115-RN,08115-RN,119.9,40.7,22.2,0.0,15,8
700060,2026-01,08115-RN,08101-RN,134.1,27.7,19.6,0.0,15,7
700060,2026-02,08115-RN,08115-RN,132.2,26.3,25.0,8.7,15,7
700060,2026-03,08115-RN,08115-RN,130.8,32.9,24.7,0.0,16,5
