DateKey,ProductKey,RegionKey,ChannelKey,UnitsSold,NetRevenue,COGS,GrossMargin,TradeSpend
2025-01-01,COLA-CHERRY,West,Convenience,3624,43487.22,23917.97,19569.25,6088.21
2025-01-01,COLA-CHERRY,West,Ecommerce,1637,19644.32,10804.38,8839.94,2750.2
2025-01-01,COLA-CHERRY,West,Foodservice,2289,27466.02,15106.31,12359.71,3845.24
2025-01-01,COLA-CHERRY,West,Grocery,5670,68039.99,37421.99,30618.0,9525.6
2025-01-01,COLA-DIET,Midwest,Club,13964,167569.05,92162.98,75406.07,23459.67
2025-01-01,COLA-DIET,Midwest,Convenience,3355,40258.46,22142.15,18116.31,5636.18
2025-01-01,COLA-DIET,Midwest,Ecommerce,1482,17783.04,9780.67,8002.37,2489.63
2025-01-01,COLA-DIET,Midwest,Foodservice,2143,25717.1,14144.4,11572.7,3600.39
2025-01-01,COLA-DIET,Midwest,Grocery,5267,63203.85,34762.12,28441.73,8848.54
2025-01-01,COLA-DIET,Mountain,Club,2173,26074.17,14340.79,11733.38,3650.38
2025-01-01,COLA-DIET,Mountain,Convenience,2255,27064.26,14885.34,12178.92,3789.0
2025-01-01,COLA-DIET,Mountain,Ecommerce,1039,12473.55,6860.45,5613.1,1746.3
2025-01-01,COLA-DIET,Mountain,Foodservice,1507,18089.56,9949.26,8140.3,2532.54
2025-01-01,COLA-DIET,Mountain,Grocery,3636,43628.27,23995.55,19632.72,6107.96
2025-01-01,COLA-DIET,Northeast,Club,2811,33726.02,18549.31,15176.71,4721.64
2025-01-01,COLA-DIET,Northeast,Convenience,2908,34891.06,19190.08,15700.98,4884.75
2025-01-01,COLA-DIET,Northeast,Ecommerce,1322,15869.94,8728.47,7141.47,2221.79
2025-01-01,COLA-DIET,Northeast,Foodservice,1848,22179.27,12198.6,9980.67,3105.1
2025-01-01,COLA-DIET,Northeast,Grocery,4505,54054.08,29729.74,24324.34,7567.57
2025-01-01,COLA-DIET,South,Club,3217,38598.47,21229.16,17369.31,5403.79
2025-01-01,COLA-DIET,South,Convenience,3687,44242.79,24333.53,19909.26,6193.99
2025-01-01,COLA-DIET,South,Ecommerce,1627,19526.96,10739.83,8787.13,2733.77
2025-01-01,COLA-DIET,South,Foodservice,2350,28204.99,15512.74,12692.25,3948.7
2025-01-01,COLA-DIET,South,Grocery,5586,67031.8,36867.49,30164.31,9384.45
2025-01-01,COLA-DIET,West,Club,4072,48858.68,26872.27,21986.41,6840.22
2025-01-01,COLA-DIET,West,Convenience,4207,50486.79,27767.73,22719.06,7068.15
2025-01-01,COLA-DIET,West,Ecommerce,1908,22895.03,12592.27,10302.76,3205.3
2025-01-01,COLA-DIET,West,Foodservice,2775,33304.88,18317.68,14987.2,4662.68
2025-01-01,COLA-DIET,West,Grocery,6689,80268.09,44147.45,36120.64,11237.53
2025-01-01,COLA-REG,Midwest,Club,15076,180917.33,99504.53,81412.8,25328.43
2025-01-01,COLA-REG,Midwest,Convenience,4493,53919.0,29655.45,24263.55,7548.66
2025-01-01,COLA-REG,Midwest,Ecommerce,2083,24995.11,13747.31,11247.8,3499.32
2025-01-01,COLA-REG,Midwest,Foodservice,2740,32878.09,18082.95,14795.14,4602.93
2025-01-01,COLA-REG,Midwest,Grocery,7120,85438.34,46991.09,38447.25,11961.37
2025-01-01,COLA-REG,Mountain,Club,2779,33345.74,18340.16,15005.58,4668.4
2025-01-01,COLA-REG,Mountain,Convenience,3195,38335.08,21084.29,17250.79,5366.91
2025-01-01,COLA-REG,Mountain,Ecommerce,1371,16447.23,9045.98,7401.25,2302.61
2025-01-01,COLA-REG,Mountain,Foodservice,1982,23789.55,13084.25,10705.3,3330.54
2025-01-01,COLA-REG,Mountain,Grocery,4892,58706.93,32288.81,26418.12,8218.97
2025-01-01,COLA-REG,Northeast,Club,3729,44752.9,24614.1,20138.8,6265.41
2025-01-01,COLA-REG,Northeast,Convenience,4012,48140.9,26477.49,21663.41,6739.73
2025-01-01,COLA-REG,Northeast,Ecommerce,1832,21987.62,12093.19,9894.43,3078.27
2025-01-01,COLA-REG,Northeast,Foodservice,2514,30170.41,16593.73,13576.68,4223.86
2025-01-01,COLA-REG,Northeast,Grocery,6166,73994.84,40697.16,33297.68,10359.28
2025-01-01,COLA-REG,South,Club,4458,53499.05,29424.48,24074.57,7489.87
2025-01-01,COLA-REG,South,Convenience,5088,61054.66,33580.06,27474.6,8547.65
2025-01-01,COLA-REG,South,Ecommerce,2146,25754.74,14165.11,11589.63,3605.66
2025-01-01,COLA-REG,South,Foodservice,3008,36099.07,19854.49,16244.58,5053.87
2025-01-01,COLA-REG,South,Grocery,7693,92317.31,50774.52,41542.79,12924.42
2025-01-01,COLA-REG,West,Club,5158,61890.85,34039.97,27850.88,8664.72
2025-01-01,COLA-REG,West,Convenience,5752,69027.04,37964.87,31062.17,9663.79
2025-01-01,COLA-REG,West,Ecommerce,2708,32494.59,17872.02,14622.57,4549.24
2025-01-01,COLA-REG,West,Foodservice,3589,43072.21,23689.72,19382.49,6030.11
2025-01-01,COLA-REG,West,Grocery,9148,109776.88,60377.28,49399.6,15368.76
2025-01-01,ENG-ORIG,Midwest,Club,1407,30945.85,12378.34,18567.51,3404.04
2025-01-01,ENG-ORIG,Midwest,Convenience,1519,33407.22,13362.89,20044.33,3674.79
2025-01-01,ENG-ORIG,Midwest,Ecommerce,676,14867.17,5946.87,8920.3,1635.39
2025-01-01,ENG-ORIG,Midwest,Foodservice,972,21376.48,8550.59,12825.89,2351.41
2025-01-01,ENG-ORIG,Midwest,Grocery,2457,54049.13,21619.65,32429.48,5945.4
2025-01-01,ENG-ORIG,Mountain,Club,935,20564.96,8225.98,12338.98,2262.15
2025-01-01,ENG-ORIG,Mountain,Convenience,1058,23275.13,9310.05,13965.08,2560.26
2025-01-01,ENG-ORIG,Mountain,Ecommerce,482,10599.47,4239.79,6359.68,1165.94
2025-01-01,ENG-ORIG,Mountain,Foodservice,680,14953.71,5981.48,8972.23,1644.91
2025-01-01,ENG-ORIG,Mountain,Grocery,1594,35059.27,14023.71,21035.56,3856.52
2025-01-01,ENG-ORIG,Northeast,Club,1230,27060.78,10824.31,16236.47,2976.69
2025-01-01,ENG-ORIG,Northeast,Convenience,1339,29457.2,11782.88,17674.32,3240.29
2025-01-01,ENG-ORIG,Northeast,Ecommerce,605,13310.02,5324.01,7986.01,1464.1
2025-01-01,ENG-ORIG,Northeast,Foodservice,876,19280.3,7712.12,11568.18,2120.83
2025-01-01,ENG-ORIG,Northeast,Grocery,2128,46823.93,18729.57,28094.36,5150.63
2025-01-01,ENG-ORIG,South,Club,1505,33108.82,13243.53,19865.29,3641.97
2025-01-01,ENG-ORIG,South,Convenience,1646,36210.96,14484.38,21726.58,3983.21
2025-01-01,ENG-ORIG,South,Ecommerce,750,16500.43,6600.17,9900.26,1815.05
2025-01-01,ENG-ORIG,South,Foodservice,1031,22682.73,9073.09,13609.64,2495.1
2025-01-01,ENG-ORIG,South,Grocery,2547,56027.69,22411.08,33616.61,6163.05
2025-01-01,ENG-ORIG,West,Club,1855,40803.91,16321.56,24482.35,4488.43
2025-01-01,ENG-ORIG,West,Convenience,1922,42290.11,16916.04,25374.07,4651.91
2025-01-01,ENG-ORIG,West,Ecommerce,916,20149.37,8059.75,12089.62,2216.43
2025-01-01,ENG-ORIG,West,Foodservice,1278,28110.84,11244.34,16866.5,3092.19
2025-01-01,ENG-ORIG,West,Grocery,3054,67188.35,26875.34,40313.01,7390.72
2025-01-01,ENG-ZERO,Midwest,Club,1147,25231.4,10092.56,15138.84,2775.45
2025-01-01,ENG-ZERO,Midwest,Convenience,1213,26692.08,10676.83,16015.25,2936.13
2025-01-01,ENG-ZERO,Midwest,Ecommerce,546,12006.98,4802.79,7204.19,1320.77
2025-01-01,ENG-ZERO,Midwest,Foodservice,792,17425.84,6970.34,10455.5,1916.84
2025-01-01,ENG-ZERO,Midwest,Grocery,1920,42237.03,16894.81,25342.22,4646.07
2025-01-01,ENG-ZERO,Mountain,Club,759,16691.29,6676.52,10014.77,1836.04
2025-01-01,ENG-ZERO,Mountain,Convenience,859,18905.13,7562.05,11343.08,2079.56
2025-01-01,ENG-ZERO,Mountain,Ecommerce,383,8419.14,3367.66,5051.48,926.11
2025-01-01,ENG-ZERO,Mountain,Foodservice,525,11548.34,4619.34,6929.0,1270.32
2025-01-01,ENG-ZERO,Mountain,Grocery,1294,28467.35,11386.94,17080.41,3131.41
2025-01-01,ENG-ZERO,Northeast,Club,1029,22648.23,9059.29,13588.94,2491.31
2025-01-01,ENG-ZERO,Northeast,Convenience,1073,23607.77,9443.11,14164.66,2596.85
2025-01-01,ENG-ZERO,Northeast,Ecommerce,491,10801.73,4320.69,6481.04,1188.19
2025-01-01,ENG-ZERO,Northeast,Foodservice,726,15967.54,6387.02,9580.52,1756.43
2025-01-01,ENG-ZERO,Northeast,Grocery,1643,36151.62,14460.65,21690.97,3976.68
2025-01-01,ENG-ZERO,South,Club,1237,27210.13,10884.05,16326.08,2993.11
2025-01-01,ENG-ZERO,South,Convenience,1339,29451.93,11780.77,17671.16,3239.71
2025-01-01,ENG-ZERO,South,Ecommerce,623,13709.48,5483.79,8225.69,1508.04
2025-01-01,ENG-ZERO,South,Foodservice,850,18700.99,7480.4,11220.59,2057.11
2025-01-01,ENG-ZERO,South,Grocery,2129,46839.12,18735.65,28103.47,5152.3
2025-01-01,ENG-ZERO,West,Club,1476,32476.27,12990.51,19485.76,3572.39
2025-01-01,ENG-ZERO,West,Convenience,1627,35791.58,14316.63,21474.95,3937.07
2025-01-01,ENG-ZERO,West,Ecommerce,736,16191.22,6476.49,9714.73,1781.03
2025-01-01,ENG-ZERO,West,Foodservice,1003,22057.28,8822.91,13234.37,2426.3
2025-01-01,ENG-ZERO,West,Grocery,2483,54617.38,21846.95,32770.43,6007.91
2025-01-01,JUC-APPLE,Midwest,Club,1984,31743.52,18411.24,13332.28,2856.92
2025-01-01,JUC-APPLE,Midwest,Convenience,2227,35635.6,20668.65,14966.95,3207.2
2025-01-01,JUC-APPLE,Midwest,Ecommerce,960,15364.64,8911.49,6453.15,1382.82
2025-01-01,JUC-APPLE,Midwest,Foodservice,1409,22551.86,13080.08,9471.78,2029.67
2025-01-01,JUC-APPLE,Midwest,Grocery,3489,55825.27,32378.66,23446.61,5024.27
2025-01-01,JUC-APPLE,Mountain,Club,1360,21757.81,12619.53,9138.28,1958.2
2025-01-01,JUC-APPLE,Mountain,Convenience,1496,23938.26,13884.19,10054.07,2154.44
2025-01-01,JUC-APPLE,Mountain,Ecommerce,721,11540.14,6693.28,4846.86,1038.61
2025-01-01,JUC-APPLE,Mountain,Foodservice,1002,16029.61,9297.17,6732.44,1442.66
2025-01-01,JUC-APPLE,Mountain,Grocery,2401,38420.55,22283.92,16136.63,3457.85
2025-01-01,JUC-APPLE,Northeast,Club,1789,28616.45,16597.54,12018.91,2575.48
2025-01-01,JUC-APPLE,Northeast,Convenience,1919,30696.27,17803.84,12892.43,2762.66
2025-01-01,JUC-APPLE,Northeast,Ecommerce,913,14607.46,8472.33,6135.13,1314.67
2025-01-01,JUC-APPLE,Northeast,Foodservice,1223,19566.64,11348.65,8217.99,1761.0
2025-01-01,JUC-APPLE,Northeast,Grocery,3093,49484.54,28701.03,20783.51,4453.61
2025-01-01,JUC-APPLE,South,Club,2243,35885.54,20813.61,15071.93,3229.7
2025-01-01,JUC-APPLE,South,Convenience,2481,39693.72,23022.36,16671.36,3572.43
2025-01-01,JUC-APPLE,South,Ecommerce,1113,17803.42,10325.98,7477.44,1602.31
2025-01-01,JUC-APPLE,South,Foodservice,1580,25281.28,14663.14,10618.14,2275.32
2025-01-01,JUC-APPLE,South,Grocery,3739,59816.26,34693.43,25122.83,5383.46
2025-01-01,JUC-APPLE,West,Club,2518,40293.37,23370.15,16923.22,3626.4
2025-01-01,JUC-APPLE,West,Convenience,2939,47023.45,27273.6,19749.85,4232.11
2025-01-01,JUC-APPLE,West,Ecommerce,1309,20949.23,12150.55,8798.68,1885.43
2025-01-01,JUC-APPLE,West,Foodservice,1837,29389.1,17045.68,12343.42,2645.02
2025-01-01,JUC-APPLE,West,Grocery,4448,71173.43,41280.59,29892.84,6405.61
2025-01-01,JUC-MANGO,Midwest,Club,1630,26084.48,15129.0,10955.48,2347.6
2025-01-01,JUC-MANGO,Midwest,Convenience,1838,29411.18,17058.48,12352.7,2647.01
2025-01-01,JUC-MANGO,Midwest,Ecommerce,846,13538.74,7852.47,5686.27,1218.49
2025-01-01,JUC-MANGO,Midwest,Foodservice,1137,18193.63,10552.31,7641.32,1637.43
2025-01-01,JUC-MANGO,Midwest,Grocery,2689,43018.64,24950.81,18067.83,3871.68
2025-01-01,JUC-MANGO,Mountain,Club,1157,18519.49,10741.3,7778.19,1666.75
2025-01-01,JUC-MANGO,Mountain,Convenience,1297,20750.23,12035.13,8715.1,1867.52
2025-01-01,JUC-MANGO,Mountain,Ecommerce,576,9211.04,5342.4,3868.64,828.99
2025-01-01,JUC-MANGO,Mountain,Foodservice,810,12958.66,7516.02,5442.64,1166.28
2025-01-01,JUC-MANGO,Mountain,Grocery,1962,31398.61,18211.19,13187.42,2825.87
2025-01-01,JUC-MANGO,Northeast,Club,1432,22905.63,13285.27,9620.36,2061.51
2025-01-01,JUC-MANGO,Northeast,Convenience,1616,25857.21,14997.18,10860.03,2327.15
2025-01-01,JUC-MANGO,Northeast,Ecommerce,716,11457.79,6645.52,4812.27,1031.2
2025-01-01,JUC-MANGO,Northeast,Foodservice,1048,16775.29,9729.67,7045.62,1509.78
2025-01-01,JUC-MANGO,Northeast,Grocery,2429,38863.15,22540.63,16322.52,3497.68
2025-01-01,JUC-MANGO,South,Club,1729,27662.66,16044.34,11618.32,2489.64
2025-01-01,JUC-MANGO,South,Convenience,2040,32644.2,18933.64,13710.56,2937.98
2025-01-01,JUC-MANGO,South,Ecommerce,907,14507.95,8414.61,6093.34,1305.72
2025-01-01,JUC-MANGO,South,Foodservice,1210,19355.85,11226.39,8129.46,1742.03
2025-01-01,JUC-MANGO,South,Grocery,3159,50549.02,29318.43,21230.59,4549.41
2025-01-01,JUC-MANGO,West,Club,2063,33003.2,19141.86,13861.34,2970.29
2025-01-01,JUC-MANGO,West,Convenience,2283,36529.34,21187.02,15342.32,3287.64
2025-01-01,JUC-MANGO,West,Ecommerce,1074,17186.51,9968.18,7218.33,1546.79
2025-01-01,JUC-MANGO,West,Foodservice,1524,24378.35,14139.44,10238.91,2194.05
2025-01-01,JUC-MANGO,West,Grocery,3595,57527.24,33365.8,24161.44,5177.45
2025-01-01,JUC-ORANGE,Midwest,Club,2273,36366.56,21092.6,15273.96,3272.99
2025-01-01,JUC-ORANGE,Midwest,Convenience,2661,42573.79,24692.8,17880.99,3831.64
2025-01-01,JUC-ORANGE,Midwest,Ecommerce,1158,18521.14,10742.26,7778.88,1666.9
2025-01-01,JUC-ORANGE,Midwest,Foodservice,1664,26626.27,15443.24,11183.03,2396.36
2025-01-01,JUC-ORANGE,Midwest,Grocery,3908,62525.09,36264.55,26260.54,5627.26
2025-01-01,JUC-ORANGE,Mountain,Club,1650,26392.74,15307.79,11084.95,2375.35
2025-01-01,JUC-ORANGE,Mountain,Convenience,1751,28012.7,16247.37,11765.33,2521.14
2025-01-01,JUC-ORANGE,Mountain,Ecommerce,835,13367.59,7753.2,5614.39,1203.08
2025-01-01,JUC-ORANGE,Mountain,Foodservice,1123,17972.12,10423.83,7548.29,1617.49
2025-01-01,JUC-ORANGE,Mountain,Grocery,2890,46240.47,26819.47,19421.0,4161.64
2025-01-01,JUC-ORANGE,Northeast,Club,2205,35284.0,20464.72,14819.28,3175.56
2025-01-01,JUC-ORANGE,Northeast,Convenience,2424,38783.07,22494.18,16288.89,3490.48
2025-01-01,JUC-ORANGE,Northeast,Ecommerce,1103,17651.4,10237.81,7413.59,1588.63
2025-01-01,JUC-ORANGE,Northeast,Foodservice,1524,24386.44,14144.14,10242.3,2194.78
2025-01-01,JUC-ORANGE,Northeast,Grocery,3634,58143.65,33723.32,24420.33,5232.93
2025-01-01,JUC-ORANGE,South,Club,2659,42549.94,24678.97,17870.97,3829.49
2025-01-01,JUC-ORANGE,South,Convenience,2802,44827.13,25999.74,18827.39,4034.44
2025-01-01,JUC-ORANGE,South,Ecommerce,1282,20517.59,11900.2,8617.39,1846.58
2025-01-01,JUC-ORANGE,South,Foodservice,1755,28087.69,16290.86,11796.83,2527.89
2025-01-01,JUC-ORANGE,South,Grocery,4312,68990.4,40014.43,28975.97,6209.14
2025-01-01,JUC-ORANGE,West,Club,2957,47317.18,27443.96,19873.22,4258.55
2025-01-01,JUC-ORANGE,West,Convenience,3275,52392.34,30387.56,22004.78,4715.31
2025-01-01,JUC-ORANGE,West,Ecommerce,1560,24960.27,14476.96,10483.31,2246.42
2025-01-01,JUC-ORANGE,West,Foodservice,2143,34282.15,19883.65,14398.5,3085.39
2025-01-01,JUC-ORANGE,West,Grocery,5397,86348.3,50082.01,36266.29,7771.35
2025-01-01,ROOT-BEER,Midwest,Club,2535,30422.31,16732.27,13690.04,4259.12
2025-01-01,ROOT-BEER,Midwest,Convenience,2823,33875.61,18631.59,15244.02,4742.59
2025-01-01,ROOT-BEER,Midwest,Ecommerce,1272,15258.27,8392.05,6866.22,2136.16
2025-01-01,ROOT-BEER,Midwest,Foodservice,1789,21463.36,11804.85,9658.51,3004.87
2025-01-01,ROOT-BEER,Midwest,Grocery,4208,50495.46,27772.5,22722.96,7069.36
2025-01-01,ROOT-BEER,Mountain,Club,1709,20511.14,11281.13,9230.01,2871.56
2025-01-01,ROOT-BEER,Mountain,Convenience,1901,22808.05,12544.43,10263.62,3193.13
2025-01-01,ROOT-BEER,Mountain,Ecommerce,913,10950.09,6022.55,4927.54,1533.01
2025-01-01,ROOT-BEER,Mountain,Foodservice,1200,14403.2,7921.76,6481.44,2016.45
2025-01-01,ROOT-BEER,Mountain,Grocery,3020,36245.37,19934.95,16310.42,5074.35
2025-01-01,ROOT-BEER,Northeast,Club,2222,26667.83,14667.31,12000.52,3733.5
2025-01-01,ROOT-BEER,Northeast,Convenience,2485,29823.6,16402.98,13420.62,4175.3
2025-01-01,ROOT-BEER,Northeast,Ecommerce,1176,14108.52,7759.69,6348.83,1975.19
2025-01-01,ROOT-BEER,Northeast,Foodservice,1599,19182.21,10550.22,8631.99,2685.51
2025-01-01,ROOT-BEER,Northeast,Grocery,3870,46441.53,25542.84,20898.69,6501.81
2025-01-01,ROOT-BEER,South,Club,2871,34447.27,18946.0,15501.27,4822.62
2025-01-01,ROOT-BEER,South,Convenience,2959,35502.32,19526.28,15976.04,4970.32
2025-01-01,ROOT-BEER,South,Ecommerce,1417,17005.82,9353.2,7652.62,2380.81
2025-01-01,ROOT-BEER,South,Foodservice,1951,23414.32,12877.88,10536.44,3278.0
2025-01-01,ROOT-BEER,South,Grocery,4802,57622.85,31692.57,25930.28,8067.2
2025-01-01,ROOT-BEER,West,Club,3193,38319.24,21075.58,17243.66,5364.69
2025-01-01,ROOT-BEER,West,Convenience,3667,44002.99,24201.64,19801.35,6160.42
2025-01-01,ROOT-BEER,West,Ecommerce,1665,19979.88,10988.93,8990.95,2797.18
2025-01-01,ROOT-BEER,West,Foodservice,2356,28275.64,15551.6,12724.04,3958.59
2025-01-01,ROOT-BEER,West,Grocery,5672,68058.71,37432.29,30626.42,9528.22
2025-01-01,SPK-BERRY,Midwest,Club,1658,23205.83,10442.62,12763.21,1856.47
2025-01-01,SPK-BERRY,Midwest,Convenience,1741,24367.17,10965.23,13401.94,1949.37
2025-01-01,SPK-BERRY,Midwest,Ecommerce,803,11237.65,5056.94,6180.71,899.01
2025-01-01,SPK-BERRY,Midwest,Foodservice,1158,16217.49,7297.87,8919.62,1297.4
2025-01-01,SPK-BERRY,Midwest,Grocery,2641,36977.08,16639.69,20337.39,2958.17
2025-01-01,SPK-BERRY,Mountain,Club,1097,15351.6,6908.22,8443.38,1228.13
2025-01-01,SPK-BERRY,Mountain,Convenience,1205,16873.72,7593.17,9280.55,1349.9
2025-01-01,SPK-BERRY,Mountain,Ecommerce,584,8170.22,3676.6,4493.62,653.62
2025-01-01,SPK-BERRY,Mountain,Foodservice,761,10660.2,4797.09,5863.11,852.82
2025-01-01,SPK-BERRY,Mountain,Grocery,1930,27019.35,12158.71,14860.64,2161.55
2025-01-01,SPK-BERRY,Northeast,Club,1479,20699.06,9314.58,11384.48,1655.92
2025-01-01,SPK-BERRY,Northeast,Convenience,1636,22898.55,10304.35,12594.2,1831.88
2025-01-01,SPK-BERRY,Northeast,Ecommerce,717,10041.82,4518.82,5523.0,803.35
2025-01-01,SPK-BERRY,Northeast,Foodservice,1033,14465.18,6509.33,7955.85,1157.21
2025-01-01,SPK-BERRY,Northeast,Grocery,2469,34567.36,15555.31,19012.05,2765.39
2025-01-01,SPK-BERRY,South,Club,1737,24311.05,10939.97,13371.08,1944.88
2025-01-01,SPK-BERRY,South,Convenience,1999,27984.79,12593.16,15391.63,2238.78
2025-01-01,SPK-BERRY,South,Ecommerce,902,12623.2,5680.44,6942.76,1009.86
2025-01-01,SPK-BERRY,South,Foodservice,1232,17241.07,7758.48,9482.59,1379.29
2025-01-01,SPK-BERRY,South,Grocery,3094,43318.41,19493.28,23825.13,3465.47
2025-01-01,SPK-BERRY,West,Club,2138,29936.39,13471.38,16465.01,2394.91
2025-01-01,SPK-BERRY,West,Convenience,2336,32707.56,14718.4,17989.16,2616.6
2025-01-01,SPK-BERRY,West,Ecommerce,1023,14326.23,6446.8,7879.43,1146.1
2025-01-01,SPK-BERRY,West,Foodservice,1439,20152.36,9068.56,11083.8,1612.19
2025-01-01,SPK-BERRY,West,Grocery,3640,50959.8,22931.91,28027.89,4076.78
2025-01-01,SPK-LIME,Midwest,Club,1674,23433.38,10545.02,12888.36,1874.67
2025-01-01,SPK-LIME,Midwest,Convenience,1882,26352.09,11858.44,14493.65,2108.17
2025-01-01,SPK-LIME,Midwest,Ecommerce,825,11547.57,5196.41,6351.16,923.81
2025-01-01,SPK-LIME,Midwest,Foodservice,1206,16883.53,7597.59,9285.94,1350.68
2025-01-01,SPK-LIME,Midwest,Grocery,3003,42045.94,18920.67,23125.27,3363.68
2025-01-01,SPK-LIME,Mountain,Club,1231,17238.04,7757.12,9480.92,1379.04
2025-01-01,SPK-LIME,Mountain,Convenience,1360,19040.07,8568.03,10472.04,1523.21
2025-01-01,SPK-LIME,Mountain,Ecommerce,604,8451.99,3803.4,4648.59,676.16
2025-01-01,SPK-LIME,Mountain,Foodservice,830,11621.68,5229.76,6391.92,929.73
2025-01-01,SPK-LIME,Mountain,Grocery,2106,29479.17,13265.63,16213.54,2358.33
2025-01-01,SPK-LIME,Northeast,Club,1588,22237.85,10007.03,12230.82,1779.03
2025-01-01,SPK-LIME,Northeast,Convenience,1680,23524.91,10586.21,12938.7,1881.99
2025-01-01,SPK-LIME,Northeast,Ecommerce,779,10906.72,4908.02,5998.7,872.54
2025-01-01,SPK-LIME,Northeast,Foodservice,1117,15644.48,7040.02,8604.46,1251.56
2025-01-01,SPK-LIME,Northeast,Grocery,2557,35793.22,16106.95,19686.27,2863.46
2025-01-01,SPK-LIME,South,Club,1851,25920.73,11664.33,14256.4,2073.66
2025-01-01,SPK-LIME,South,Convenience,2048,28672.27,12902.52,15769.75,2293.78
2025-01-01,SPK-LIME,South,Ecommerce,967,13532.67,6089.7,7442.97,1082.61
2025-01-01,SPK-LIME,South,Foodservice,1323,18527.28,8337.28,10190.0,1482.18
2025-01-01,SPK-LIME,South,Grocery,3281,45938.62,20672.38,25266.24,3675.09
2025-01-01,SPK-LIME,West,Club,2154,30160.37,13572.17,16588.2,2412.83
2025-01-01,SPK-LIME,West,Convenience,2395,33535.01,15090.75,18444.26,2682.8
2025-01-01,SPK-LIME,West,Ecommerce,1090,15261.15,6867.52,8393.63,1220.89
2025-01-01,SPK-LIME,West,Foodservice,1615,22605.03,10172.26,12432.77,1808.4
2025-01-01,SPK-LIME,West,Grocery,3819,53463.49,24058.57,29404.92,4277.08
2025-01-01,SPK-PLAIN,Midwest,Club,1272,17808.38,8013.77,9794.61,1424.67
2025-01-01,SPK-PLAIN,Midwest,Convenience,1367,19141.9,8613.85,10528.05,1531.35
2025-01-01,SPK-PLAIN,Midwest,Ecommerce,629,8799.08,3959.59,4839.49,703.93
2025-01-01,SPK-PLAIN,Midwest,Foodservice,856,11981.83,5391.82,6590.01,958.55
2025-01-01,SPK-PLAIN,Midwest,Grocery,2135,29890.45,13450.7,16439.75,2391.24
2025-01-01,SPK-PLAIN,Mountain,Club,843,11801.44,5310.65,6490.79,944.12
2025-01-01,SPK-PLAIN,Mountain,Convenience,928,12986.46,5843.91,7142.55,1038.92
2025-01-01,SPK-PLAIN,Mountain,Ecommerce,440,6163.18,2773.43,3389.75,493.05
2025-01-01,SPK-PLAIN,Mountain,Foodservice,627,8781.51,3951.68,4829.83,702.52
2025-01-01,SPK-PLAIN,Mountain,Grocery,1452,20331.33,9149.1,11182.23,1626.51
2025-01-01,SPK-PLAIN,Northeast,Club,1073,15019.27,6758.67,8260.6,1201.54
2025-01-01,SPK-PLAIN,Northeast,Convenience,1224,17140.38,7713.17,9427.21,1371.23
2025-01-01,SPK-PLAIN,Northeast,Ecommerce,571,7999.08,3599.59,4399.49,639.93
2025-01-01,SPK-PLAIN,Northeast,Foodservice,758,10616.34,4777.35,5838.99,849.31
2025-01-01,SPK-PLAIN,Northeast,Grocery,1928,26995.61,12148.02,14847.59,2159.65
2025-01-01,SPK-PLAIN,South,Club,1366,19120.65,8604.29,10516.36,1529.65
